id,name,name_norm,uic,latitude,longitude,country,time_zone,is_city,is_main_station,is_airport
9264,Punerot,Punerot,8714117,48.483333,5.816667,FR,Europe/Paris,FALSE,FALSE,FALSE
427,Moyen,Moyen,8714124,48.483333,6.566667,FR,Europe/Paris,FALSE,FALSE,FALSE
1870,Neufchâteau Lycée Professionnel,Neufchateau Lycee Professionnel,8745886,48.483333,5.85,FR,Europe/Paris,FALSE,FALSE,FALSE
456,Tantonville,Tantonville,8714159,48.4838433,6.129105,FR,Europe/Paris,FALSE,FALSE,FALSE
592,Goussaincourt,Goussaincourt,8714809,48.48384913,5.693310499,FR,Europe/Paris,FALSE,FALSE,FALSE
28657,Zabolote,Zabolote,2235420,48.48397,25.274447,UA,Europe/Kiev,FALSE,FALSE,FALSE
9425,La Ferté-Alais,La Ferte-Alais,8768145,48.484876,2.35161,FR,Europe/Paris,FALSE,FALSE,FALSE
2103,Guimiliau,Guimiliau,8747429,48.4852675,-3.9996163,FR,Europe/Paris,FALSE,FALSE,FALSE
1019,Bischoffsheim,Bischoffsheim,8721429,48.48701,7.49772,FR,Europe/Paris,FALSE,FALSE,FALSE
9935,Chartrettes,Chartrettes,8768241,48.4870771,2.6950059,FR,Europe/Paris,FALSE,FALSE,FALSE
9936,Fontaine-le-Port,Fontaine-le-Port,8768242,48.4871358,2.7514043,FR,Europe/Paris,FALSE,FALSE,FALSE
13154,Ramsbach Birkhof,Ramsbach Birkhof,8014313,48.488335,8.145674,DE,Europe/Berlin,FALSE,FALSE,FALSE
11638,Ergenzingen,Ergenzingen,8029397,48.489531,8.80986,DE,Europe/Berlin,FALSE,FALSE,FALSE
12486,Langweid (Lech),Langweid (Lech),8002065,48.490448,10.847966,DE,Europe/Berlin,FALSE,FALSE,FALSE
942,Fegersheim—Lipsheim,Fegersheim-Lipsheim,8721226,48.4905892,7.6724806,FR,Europe/Paris,FALSE,FALSE,FALSE
13666,Bad Urach,Bad Urach,8029306,48.491239,9.396487,DE,Europe/Berlin,FALSE,FALSE,FALSE
439,Azerailles,Azerailles,8714140,48.4913355,6.695778,FR,Europe/Paris,FALSE,FALSE,FALSE
4865,Nogent-sur-Seine Théâtre,Nogent-sur-Seine Theatre,8721616,48.49167,3.506278,FR,Europe/Paris,FALSE,FALSE,FALSE
4863,Nogent-sur-Seine de Gaulle,Nogent-sur-Seine de Gaulle,8721615,48.4925,3.5114,FR,Europe/Paris,FALSE,FALSE,FALSE
13207,Reutlingen West,Reutlingen West,8029311,48.49256,9.201583,DE,Europe/Berlin,FALSE,FALSE,FALSE
7047,Langenau (Württ),Langenau (Wurtt),8029712,48.493333,10.125988,DE,Europe/Berlin,FALSE,FALSE,FALSE
10094,Étréchy,Etrechy,8754514,48.493727,2.194323,FR,Europe/Paris,FALSE,FALSE,FALSE
13665,Bad Urach Ermstalklinik,Bad Urach Ermstalklinik,8080654,48.494152,9.386904,DE,Europe/Berlin,FALSE,FALSE,FALSE
2104,St-Thégonnec,St-Thegonnec,8747431,48.4942082,-3.9483116,FR,Europe/Paris,FALSE,FALSE,FALSE
7369,Bad Höhenstadt,Bad Hohenstadt,8026514,48.49461,13.323191,DE,Europe/Berlin,FALSE,FALSE,FALSE
13155,Ramsbach Höfle,Ramsbach Hofle,8014314,48.494862,8.139363,DE,Europe/Berlin,FALSE,FALSE,FALSE
2102,Landivisiau,Landivisiau,8747427,48.496002,-4.082181,FR,Europe/Paris,FALSE,FALSE,FALSE
7213,Reutlingen Hbf,Reutlingen Hbf,8029308,48.49603,9.209196,DE,Europe/Berlin,FALSE,TRUE,FALSE
2163,Corseul—Languenan,Corseul-Languenan,8747818,48.4960574,-2.1414331,FR,Europe/Paris,FALSE,FALSE,FALSE
2162,La Hisse,La Hisse,8747815,48.4961248,-2.0036608,FR,Europe/Paris,FALSE,FALSE,FALSE
13208,Reutlingen-Betzingen,Reutlingen-Betzingen,8029313,48.49621,9.175442,DE,Europe/Berlin,FALSE,FALSE,FALSE
400,Nogent-sur-Seine,Nogent-sur-Seine,8711819,48.49783878,3.49372888,FR,Europe/Paris,FALSE,TRUE,FALSE
1048,Russ—Hersbach,Russ-Hersbach,8721468,48.4982211,7.2519246,FR,Europe/Paris,FALSE,FALSE,FALSE
2161,Pleudihen,Pleudihen,8747814,48.4993822,-1.9617515,FR,Europe/Paris,FALSE,FALSE,FALSE
16059,Bad Urach Wasserfall,Bad Urach Wasserfall,8061710,48.499392,9.376279,DE,Europe/Berlin,FALSE,FALSE,FALSE
2052,La Méaugon,La Meaugon,8747312,48.4996127,-2.8439358,FR,Europe/Paris,FALSE,FALSE,FALSE
9666,St-Dizier Gare Routière,St-Dizier Gare Routiere,8710744,48.5,4.95,FR,Europe/Paris,FALSE,FALSE,FALSE
9669,St-Dizier Hôtel de Ville,St-Dizier Hotel de Ville,8710751,48.5,4.95,FR,Europe/Paris,FALSE,FALSE,FALSE
394,Châtres,Chatres,8711813,48.5,3.85,FR,Europe/Paris,FALSE,FALSE,FALSE
4826,Méry-sur-Seine,Mery-sur-Seine,8713956,48.5,3.883333,FR,Europe/Paris,FALSE,FALSE,FALSE
5079,Les Granges,Les Granges,8713958,48.5,3.783333,FR,Europe/Paris,FALSE,FALSE,FALSE
426,Gerbeviller,Gerbeviller,8714123,48.5,6.516667,FR,Europe/Paris,FALSE,FALSE,FALSE
593,Burey-la-Côte,Burey-la-Cote,8714810,48.5,5.7,FR,Europe/Paris,FALSE,FALSE,FALSE
685,Curel,Curel,8717510,48.5,5.133333,FR,Europe/Paris,FALSE,FALSE,FALSE
9843,St-Dizier Base aérienne,St-Dizier Base aerienne,8732647,48.5,4.95,FR,Europe/Paris,FALSE,FALSE,FALSE
3972,Gerbeviller Foch,Gerbeviller Foch,8747678,48.5,6.516667,FR,Europe/Paris,FALSE,FALSE,FALSE
13615,Tübingen-Derendingen,Tubingen-Derendingen,8029334,48.503482,9.050591,DE,Europe/Berlin,FALSE,FALSE,FALSE
421,Einvaux,Einvaux,8714120,48.5034859,6.3932959,FR,Europe/Paris,FALSE,FALSE,FALSE
6804,Baiersbronn Bf,Baiersbronn Bf,8014271,48.504103,8.371869,DE,Europe/Berlin,FALSE,FALSE,FALSE
17702,Wernstein,Wernstein,8101741,48.504201,13.455548,AT,Europe/Vienna,FALSE,FALSE,FALSE
438,Ménil-Flin,Menil-Flin,8714139,48.5050204,6.6592265,FR,Europe/Paris,FALSE,FALSE,FALSE
1021,Rosheim,Rosheim,8721432,48.50525,7.49093,FR,Europe/Paris,FALSE,FALSE,FALSE
8748,Gerbeviller Gambetta,Gerbeviller Gambetta,8740562,48.50564,6.518159,FR,Europe/Paris,FALSE,FALSE,FALSE
9097,Romilly-sur-Seine Rue Pierre Sémard,Romilly-sur-Seine Rue Pierre Semard,8713959,48.506116,3.752528,FR,Europe/Paris,FALSE,FALSE,FALSE
12212,Hubacker,Hubacker,8014300,48.507402,8.135687,DE,Europe/Berlin,FALSE,FALSE,FALSE
2059,Landébia,Landebia,8747326,48.5074212,-2.3313716,FR,Europe/Paris,FALSE,FALSE,FALSE
234,Moustéru,Mousteru,8747351,48.5074512,-3.2435052,FR,Europe/Paris,FALSE,FALSE,FALSE
5144,St-Brieuc,St-Brieuc,8747300,48.50758,-2.765,FR,Europe/Paris,FALSE,FALSE,FALSE
1046,Wisches,Wisches,8721467,48.5076495,7.2700936,FR,Europe/Paris,FALSE,FALSE,FALSE
2105,Pleyber-Christ,Pleyber-Christ,8747432,48.5078255,-3.8825543,FR,Europe/Paris,FALSE,FALSE,FALSE
5095,Romilly-sur-Seine Hôpital,Romilly-sur-Seine Hopital,8721612,48.508049,3.696598,FR,Europe/Paris,FALSE,FALSE,FALSE
2053,Plouvara—Plerneuf,Plouvara-Plerneuf,8747313,48.508585,-2.8925136,FR,Europe/Paris,FALSE,FALSE,FALSE
28276,Hidasnémeti,Hidasnemeti,5513243,48.509487,21.230462,HU,Europe/Budapest,FALSE,FALSE,FALSE
9627,Romilly-sur-Seine Gornet Boivin,Romilly-sur-Seine Gornet Boivin,8713960,48.50964,3.737427,FR,Europe/Paris,FALSE,FALSE,FALSE
4974,Pont-sur-Seine Fleming,Pont-sur-Seine Fleming,8721613,48.50964,3.60186,FR,Europe/Paris,FALSE,TRUE,FALSE
1825,Jouy,Jouy,8739415,48.5102582,1.5573972,FR,Europe/Paris,FALSE,FALSE,FALSE
11093,Baiersbronn Schule,Baiersbronn Schule,8066080,48.510413,8.375429,DE,Europe/Berlin,FALSE,FALSE,FALSE
9933,Livry-sur-Seine,Livry-sur-Seine,8768240,48.5104579,2.6788796,FR,Europe/Paris,FALSE,FALSE,FALSE
5093,Romilly-sur-Seine Atelier SNCF,Romilly-sur-Seine Atelier SNCF,8721611,48.511725,3.715727,FR,Europe/Paris,FALSE,FALSE,FALSE
13153,Rammingen (Württ),Rammingen (Wurtt),8029711,48.512283,10.190468,DE,Europe/Berlin,FALSE,FALSE,FALSE
13740,Wannweil,Wannweil,8029314,48.512319,9.150452,DE,Europe/Berlin,FALSE,FALSE,FALSE
11820,Fürstenzell,Furstenzell,8026513,48.513182,13.333816,DE,Europe/Berlin,FALSE,FALSE,FALSE
4673,Longueville,Longueville,8711613,48.513703,3.249822,FR,Europe/Paris,FALSE,FALSE,FALSE
11415,Dettingen Gsaidt,Dettingen Gsaidt,8061714,48.514063,9.35804,DE,Europe/Berlin,FALSE,FALSE,FALSE
10096,Chamarande,Chamarande,8754515,48.514244,2.215854,FR,Europe/Paris,FALSE,FALSE,FALSE
13141,Radersdorf,Radersdorf,8002134,48.514422,11.162265,DE,Europe/Berlin,FALSE,FALSE,FALSE
396,Romilly-sur-Seine,Romilly-sur-Seine,8711815,48.514433,3.728887,FR,Europe/Paris,FALSE,TRUE,FALSE
